Player_Name,Year,Month,Region,Platform,Days_Active,Sessions_Per_Month,Avg_Session_Time_Min,In_App_Purchase_USD,Clan_Joined,Update_Event,Satisfaction_Score,Churn_Risk_Score,Churned,Monthly_Active_Index
UltraMaster8258,2020,9,South America,Android,25,16,45.18,1.91,Yes,Major,7.7,5.01,0,400
ShadowWizard9661,2017,8,Europe,iOS,5,9,50.11,3.48,Yes,None,7,13.7,1,45
DarkMaster981,2026,3,Asia,iOS,16,43,20.9,13.39,No,None,5.4,8.47,0,688
ShadowSlayer6507,2024,5,South America,iOS,14,19,41.79,10.23,No,None,1.9,10.8,0,266
GhostRaider6249,2021,9,North America,Android,20,113,16.3,33.75,Yes,Minor,5.2,8.27,0,2260
ToxicHunter6356,2026,1,North America,iOS,10,76,8.81,56.02,Yes,None,9.6,10.14,0,760
IceSlayer3134,2018,9,North America,Android,21,92,36.86,57.23,Yes,Minor,4.9,7.26,0,1932
StormRaider1925,2020,4,North America,Android,25,119,48.06,3.18,Yes,Major,1.3,6.95,0,2975
UltraMaster9125,2023,4,South America,Android,3,23,9.55,23.18,No,None,4.6,13.15,1,69
DarkChampion5657,2016,4,South America,iOS,3,105,14.97,16.92,Yes,Major,5.2,14.56,1,315
WarRider5333,2020,10,Asia,iOS,28,86,10.11,9.25,No,None,7.7,4.17,0,2408
EliteWarrior4194,2024,12,Europe,iOS,18,89,39.88,105.29,No,Minor,3.1,7.07,0,1602
GhostDestroyer2600,2024,9,South America,Android,24,53,9.37,12.18,Yes,None,6.2,6.26,0,1272
EliteKing7392,2021,6,North America,iOS,23,43,10.13,21.89,Yes,None,2.6,5.93,0,989
IronRaider3005,2018,11,South America,iOS,18,82,19.53,13.98,No,Minor,6.5,8.43,0,1476
NightLegend3348,2017,8,North America,Android,4,19,19.86,2.17,Yes,None,5.7,11.84,0,76
IceTitan1473,2021,12,Asia,iOS,7,59,35.66,3.04,No,Major,8.7,12.36,1,413
WarHunter7882,2021,4,Europe,iOS,1,117,6.77,27.74,No,Major,5.2,13.99,1,117
NightSlayer6967,2016,3,South America,Android,16,71,38.84,32.36,Yes,None,3.6,9.84,0,1136
WarTitan3044,2019,1,Europe,Android,17,60,27.64,9.05,Yes,Major,5.8,6.72,0,1020
GhostViper3659,2018,10,North America,iOS,8,49,14.83,1.39,No,Minor,6,12.43,1,392
